            Время    Канал: 0    Канал: 1 
 00:00:00.022.742     -0.7959     -2.8760 
 00:00:00.022.908     -0.7959     -2.9468 
 00:00:00.023.074     -0.8154     -3.0151 
 00:00:00.023.240     -0.8252     -3.0762 
 00:00:00.023.406     -0.8447     -3.1152 
 00:00:00.023.572     -0.8350     -3.1348 
 00:00:00.023.738     -0.8350     -3.1445 
 00:00:00.023.904     -0.8447     -3.1250 
 00:00:00.024.070     -0.8545     -3.0859 
 00:00:00.024.236     -0.8057     -2.9761 
 00:00:00.024.402     -0.8154     -2.8467 
 00:00:00.024.568     -0.8154     -2.7271 
 00:00:00.024.734     -0.8154     -2.5781 
 00:00:00.024.900     -0.8252     -2.4390 
 00:00:00.025.066     -0.8154     -2.2900 
 00:00:00.025.232     -0.8057     -2.1606 
 00:00:00.025.398     -0.7861     -1.9995 
 00:00:00.025.564     -0.7861     -1.8408 
 00:00:00.025.730     -0.7861     -1.6724 
 00:00:00.025.896     -0.7764     -1.5015 
 00:00:00.026.062     -0.7471     -1.3330 
 00:00:00.026.228     -0.7764     -1.1548 
 00:00:00.026.394     -0.7764     -0.9546 
 00:00:00.026.560     -0.7666     -0.7764 
 00:00:00.026.726     -0.7764     -0.5957 
 00:00:00.026.892     -0.7568     -0.3979 
 00:00:00.027.058     -0.7568     -0.1978 
 00:00:00.027.224     -0.7568     -0.0195 
 00:00:00.027.390     -0.7471      0.1709 
 00:00:00.027.556     -0.7251      0.3589 
 00:00:00.027.722     -0.6958      0.5273 
 00:00:00.027.888     -0.6567      0.6982 
 00:00:00.028.054     -0.5176      0.8667 
 00:00:00.028.220     -0.3174      0.9961 
 00:00:00.028.386     -0.1294      1.1353 
 00:00:00.028.552      0.0098      1.2549 
 00:00:00.028.718      0.1001      1.3843 
 00:00:00.028.884      0.1587      1.4941 
 00:00:00.029.050      0.2295      1.5942 
 00:00:00.029.216      0.2783      1.7017 
 00:00:00.029.382      0.3491      1.7920 
 00:00:00.029.548      0.3687      1.9116 
 00:00:00.029.714      0.4175      1.9824 
 00:00:00.029.880      0.4785      2.0605 
 00:00:00.030.046      0.4980      2.1313 
 00:00:00.030.212      0.5176      2.2095 
 00:00:00.030.378      0.5371      2.2705 
 00:00:00.030.544      0.5688      2.3193 
 00:00:00.030.710      0.6079      2.3706 
 00:00:00.030.876      0.6274      2.4292 
 00:00:00.031.042      0.6470      2.4683 
 00:00:00.031.208      0.6567      2.5000 
 00:00:00.031.374      0.6665      2.5391 
 00:00:00.031.540      0.6763      2.5879 
 00:00:00.031.706      0.6885      2.6074 
 00:00:00.031.872      0.7080      2.6294 
 00:00:00.032.038      0.7080      2.6880 
 00:00:00.032.204      0.7275      2.7271 
 00:00:00.032.370      0.7471      2.7686 
 00:00:00.032.536      0.7666      2.8174 
 00:00:00.032.702      0.7764      2.8784 
 00:00:00.032.868      0.7764      2.9468 
 00:00:00.033.034      0.7764      3.0078 
 00:00:00.033.200      0.8179      3.0664 
 00:00:00.033.366      0.8179      3.0957 
 00:00:00.033.532      0.8179      3.1470 
 00:00:00.033.698      0.8179      3.1470 
 00:00:00.033.864      0.8276      3.1372 
 00:00:00.034.030      0.8374      3.0957 
 00:00:00.034.196      0.8276      3.0078 
 00:00:00.034.362      0.8057      2.8564 
 00:00:00.034.528      0.8057      2.7075 
 00:00:00.034.694      0.8276      2.6074 
 00:00:00.034.860      0.8276      2.4683 
 00:00:00.035.026      0.7959      2.3291 
 00:00:00.035.192      0.8179      2.1899 
 00:00:00.035.358      0.7959      2.0410 
 00:00:00.035.524      0.7861      1.8726 
 00:00:00.035.690      0.7861      1.7017 
 00:00:00.035.856      0.7861      1.5332 
 00:00:00.036.022      0.7666      1.3745 
 00:00:00.036.188      0.7568      1.1841 
 00:00:00.036.354      0.7568      1.0059 
 00:00:00.036.520      0.7666      0.8057 
 00:00:00.036.686      0.7568      0.6177 
 00:00:00.036.852      0.7373      0.4395 
 00:00:00.037.018      0.7373      0.2393 
 00:00:00.037.184      0.7373      0.0513 
 00:00:00.037.350      0.7275     -0.1294 
 00:00:00.037.516      0.7275     -0.3076 
 00:00:00.037.682      0.7080     -0.4761 
 00:00:00.037.848      0.6763     -0.6567 
 00:00:00.038.014      0.5786     -0.8252 
 00:00:00.038.180      0.3882     -0.9839 
 00:00:00.038.346      0.2100     -1.1230 
 00:00:00.038.512      0.0806     -1.2329 
 00:00:00.038.678     -0.0098     -1.3525 
 00:00:00.038.844     -0.0781     -1.4624 
 00:00:00.039.010     -0.1489     -1.5723 
 00:00:00.039.176     -0.2075     -1.6821 
 00:00:00.039.342     -0.2686     -1.7700 
 00:00:00.039.508     -0.3271     -1.8604 
 00:00:00.039.674     -0.3687     -1.9604 
 00:00:00.039.840     -0.4370     -2.0410 
 00:00:00.040.006     -0.4468     -2.1094 
 00:00:00.040.172     -0.4883     -2.1802 
 00:00:00.040.338     -0.5176     -2.2388 
 00:00:00.040.504     -0.5371     -2.2998 
 00:00:00.040.670     -0.5762     -2.3486 
 00:00:00.040.836     -0.6274     -2.4072 
 00:00:00.041.002     -0.6372     -2.4487 
 00:00:00.041.168     -0.6567     -2.4976 
 00:00:00.041.334     -0.6665     -2.5269 
 00:00:00.041.500     -0.6860     -2.5781 
 00:00:00.041.666     -0.7056     -2.5977 
 00:00:00.041.832     -0.7056     -2.6367 
 00:00:00.041.998     -0.7471     -2.6782 
 00:00:00.042.164     -0.7349     -2.7173 
 00:00:00.042.330     -0.7666     -2.7661 
 00:00:00.042.496     -0.7666     -2.8271 
 00:00:00.042.662     -0.7861     -2.8564 
 00:00:00.042.828     -0.8057     -2.9370 
 00:00:00.042.994     -0.8057     -3.0054 
 00:00:00.043.160     -0.8252     -3.0762 
 00:00:00.043.326     -0.8447     -3.1152 
 00:00:00.043.492     -0.8350     -3.1543 
 00:00:00.043.658     -0.8350     -3.1738 
 00:00:00.043.824     -0.8350     -3.1445 
 00:00:00.043.990     -0.8447     -3.1250 
 00:00:00.044.156     -0.8252     -3.0664 
 00:00:00.044.322     -0.8252     -2.9053 
 00:00:00.044.488     -0.8057     -2.7759 
 00:00:00.044.654     -0.8057     -2.6465 
 00:00:00.044.820     -0.8057     -2.5171 
 00:00:00.044.986     -0.8057     -2.3877 
 00:00:00.045.152     -0.8057     -2.2485 
 00:00:00.045.318     -0.7959     -2.0996 
 00:00:00.045.484     -0.7861     -1.9312 
 00:00:00.045.650     -0.7861     -1.7505 
 00:00:00.045.816     -0.7666     -1.5918 
 00:00:00.045.982     -0.7959     -1.4233 
 00:00:00.046.148     -0.7666     -1.2427 
 00:00:00.046.314     -0.7764     -1.0547 
 00:00:00.046.480     -0.7666     -0.8643 
 00:00:00.046.646     -0.7568     -0.6763 
 00:00:00.046.812     -0.7471     -0.4883 
