            Время    Канал: 0    Канал: 1 
 00:00:00.100.597     -0.5469     -2.3193 
 00:00:00.100.763     -0.5859     -2.3779 
 00:00:00.100.929     -0.6055     -2.4292 
 00:00:00.101.095     -0.6372     -2.4780 
 00:00:00.101.261     -0.6567     -2.5073 
 00:00:00.101.427     -0.6665     -2.5586 
 00:00:00.101.593     -0.6860     -2.5879 
 00:00:00.101.759     -0.6958     -2.6270 
 00:00:00.101.925     -0.7251     -2.6660 
 00:00:00.102.091     -0.7471     -2.6978 
 00:00:00.102.257     -0.7568     -2.7368 
 00:00:00.102.423     -0.7764     -2.7759 
 00:00:00.102.589     -0.7568     -2.8174 
 00:00:00.102.755     -0.7764     -2.8760 
 00:00:00.102.921     -0.8057     -2.9468 
 00:00:00.103.087     -0.7959     -3.0151 
 00:00:00.103.253     -0.8154     -3.0762 
 00:00:00.103.419     -0.8350     -3.1055 
 00:00:00.103.585     -0.8350     -3.1543 
 00:00:00.103.751     -0.8350     -3.1641 
 00:00:00.103.917     -0.8350     -3.1348 
 00:00:00.104.083     -0.8154     -3.0859 
 00:00:00.104.249     -0.8057     -2.9761 
 00:00:00.104.415     -0.8252     -2.8369 
 00:00:00.104.581     -0.8252     -2.7271 
 00:00:00.104.747     -0.8057     -2.5781 
 00:00:00.104.913     -0.7959     -2.4585 
 00:00:00.105.079     -0.7959     -2.3096 
 00:00:00.105.245     -0.7959     -2.1606 
 00:00:00.105.411     -0.7666     -2.0093 
 00:00:00.105.577     -0.7959     -1.8506 
 00:00:00.105.743     -0.7861     -1.6821 
 00:00:00.105.909     -0.7666     -1.5015 
 00:00:00.106.075     -0.7666     -1.3428 
 00:00:00.106.241     -0.7666     -1.1548 
 00:00:00.106.407     -0.7764     -0.9644 
 00:00:00.106.573     -0.7471     -0.7959 
 00:00:00.106.739     -0.7471     -0.5859 
 00:00:00.106.905     -0.7568     -0.3979 
 00:00:00.107.071     -0.7471     -0.2173 
 00:00:00.107.237     -0.7349     -0.0195 
 00:00:00.107.403     -0.7251      0.1587 
 00:00:00.107.569     -0.7251      0.3491 
 00:00:00.107.735     -0.6860      0.5371 
 00:00:00.107.901     -0.6665      0.6982 
 00:00:00.108.067     -0.5371      0.8569 
 00:00:00.108.233     -0.3174      0.9961 
 00:00:00.108.399     -0.1099      1.1157 
 00:00:00.108.565      0.0000      1.2549 
 00:00:00.108.731      0.0903      1.3550 
 00:00:00.108.897      0.1587      1.4941 
 00:00:00.109.063      0.2197      1.6040 
 00:00:00.109.229      0.2881      1.7017 
 00:00:00.109.395      0.3296      1.8018 
 00:00:00.109.561      0.3882      1.9019 
 00:00:00.109.727      0.4175      1.9824 
 00:00:00.109.893      0.4590      2.0605 
 00:00:00.110.059      0.4785      2.1313 
 00:00:00.110.225      0.5273      2.1899 
 00:00:00.110.391      0.5469      2.2510 
 00:00:00.110.557      0.5786      2.3096 
 00:00:00.110.723      0.5981      2.3608 
 00:00:00.110.889      0.6274      2.4292 
 00:00:00.111.055      0.6372      2.4683 
 00:00:00.111.221      0.6763      2.5000 
 00:00:00.111.387      0.6665      2.5391 
 00:00:00.111.553      0.6885      2.5781 
 00:00:00.111.719      0.6885      2.6074 
 00:00:00.111.885      0.7080      2.6392 
 00:00:00.112.051      0.7373      2.6782 
 00:00:00.112.217      0.7373      2.7173 
 00:00:00.112.383      0.7471      2.7588 
 00:00:00.112.549      0.7666      2.8076 
 00:00:00.112.715      0.7666      2.8784 
 00:00:00.112.881      0.7959      2.9565 
 00:00:00.113.047      0.8057      3.0078 
 00:00:00.113.213      0.8057      3.0664 
 00:00:00.113.379      0.8276      3.1152 
 00:00:00.113.545      0.8179      3.1470 
 00:00:00.113.711      0.8276      3.1665 
 00:00:00.113.877      0.8179      3.1372 
 00:00:00.114.043      0.8276      3.0859 
 00:00:00.114.209      0.8179      2.9858 
 00:00:00.114.375      0.8057      2.8369 
 00:00:00.114.541      0.8276      2.7271 
 00:00:00.114.707      0.8179      2.5977 
 00:00:00.114.873      0.8057      2.4683 
 00:00:00.115.039      0.8057      2.3291 
 00:00:00.115.205      0.8057      2.1899 
 00:00:00.115.371      0.7861      2.0410 
 00:00:00.115.537      0.7861      1.8823 
 00:00:00.115.703      0.7764      1.7236 
 00:00:00.115.869      0.7764      1.5527 
 00:00:00.116.035      0.7666      1.3745 
 00:00:00.116.201      0.7764      1.1938 
 00:00:00.116.367      0.7666      1.0059 
 00:00:00.116.533      0.7471      0.8276 
 00:00:00.116.699      0.7568      0.6274 
 00:00:00.116.865      0.7471      0.4297 
 00:00:00.117.031      0.7275      0.2490 
 00:00:00.117.197      0.7373      0.0610 
 00:00:00.117.363      0.7275     -0.1196 
 00:00:00.117.529      0.7178     -0.3174 
 00:00:00.117.695      0.7178     -0.4761 
 00:00:00.117.861      0.6470     -0.6567 
 00:00:00.118.027      0.5884     -0.8252 
 00:00:00.118.193      0.3882     -0.9741 
 00:00:00.118.359      0.2100     -1.1133 
 00:00:00.118.525      0.1001     -1.2329 
 00:00:00.118.691     -0.0098     -1.3525 
 00:00:00.118.857     -0.0781     -1.4526 
 00:00:00.119.023     -0.1392     -1.5723 
 00:00:00.119.189     -0.1978     -1.6821 
 00:00:00.119.355     -0.2686     -1.7822 
 00:00:00.119.521     -0.3076     -1.8701 
 00:00:00.119.687     -0.3687     -1.9507 
 00:00:00.119.853     -0.4077     -2.0288 
 00:00:00.120.019     -0.4370     -2.0996 
 00:00:00.120.185     -0.4761     -2.1802 
 00:00:00.120.351     -0.5273     -2.2388 
 00:00:00.120.517     -0.5371     -2.3096 
 00:00:00.120.683     -0.5762     -2.3584 
 00:00:00.120.849     -0.5957     -2.4072 
 00:00:00.121.015     -0.6177     -2.4585 
 00:00:00.121.181     -0.6372     -2.4878 
 00:00:00.121.347     -0.6763     -2.5269 
 00:00:00.121.513     -0.6860     -2.5684 
 00:00:00.121.679     -0.6958     -2.5977 
 00:00:00.121.845     -0.7056     -2.6465 
 00:00:00.122.011     -0.7251     -2.6782 
 00:00:00.122.177     -0.7471     -2.7271 
 00:00:00.122.343     -0.7568     -2.7563 
 00:00:00.122.509     -0.7764     -2.7759 
 00:00:00.122.675     -0.7764     -2.8564 
 00:00:00.122.841     -0.8057     -2.9248 
 00:00:00.123.007     -0.8154     -2.9858 
 00:00:00.123.173     -0.8154     -3.0542 
 00:00:00.123.339     -0.8252     -3.1055 
 00:00:00.123.505     -0.8350     -3.1445 
 00:00:00.123.671     -0.8447     -3.1641 
 00:00:00.123.837     -0.8350     -3.1543 
 00:00:00.124.003     -0.8350     -3.1250 
 00:00:00.124.169     -0.8252     -3.0762 
 00:00:00.124.335     -0.8252     -2.9053 
 00:00:00.124.501     -0.8252     -2.7759 
 00:00:00.124.667     -0.8057     -2.6563 
 00:00:00.124.833     -0.8057     -2.5269 
 00:00:00.124.999     -0.8057     -2.3877 
 00:00:00.125.166     -0.7861     -2.2485 
 00:00:00.125.332     -0.8057     -2.0898 
 00:00:00.125.498     -0.7764     -1.9507 
 00:00:00.125.664     -0.7861     -1.7700 
 00:00:00.125.830     -0.7764     -1.6113 
 00:00:00.125.996     -0.7764     -1.4331 
 00:00:00.126.162     -0.7666     -1.2427 
 00:00:00.126.328     -0.7666     -1.0645 
 00:00:00.126.494     -0.7568     -0.8765 
 00:00:00.126.660     -0.7568     -0.6958 
 00:00:00.126.826     -0.7568     -0.4980 
 00:00:00.126.992     -0.7251     -0.3174 
 00:00:00.127.158     -0.7471     -0.1294 
 00:00:00.127.324     -0.7251      0.0708 
 00:00:00.127.490     -0.7153      0.2588 
 00:00:00.127.656     -0.7251      0.4395 
 00:00:00.127.822     -0.6958      0.5981 
 00:00:00.127.988     -0.6177      0.7568 
 00:00:00.128.154     -0.4370      0.9351 
 00:00:00.128.320     -0.2075      1.0767 
 00:00:00.128.486     -0.0684      1.1841 
 00:00:00.128.652      0.0513      1.3135 
 00:00:00.128.818      0.1196      1.4233 
 00:00:00.128.984      0.2197      1.5430 
 00:00:00.129.150      0.2588      1.6528 
 00:00:00.129.316      0.3198      1.7627 
 00:00:00.129.482      0.3687      1.8530 
 00:00:00.129.648      0.4077      1.9409 
 00:00:00.129.814      0.4492      2.0215 
 00:00:00.129.980      0.4980      2.1118 
 00:00:00.130.146      0.4980      2.1802 
 00:00:00.130.312      0.5273      2.2314 
 00:00:00.130.478      0.5591      2.2900 
 00:00:00.130.644      0.5884      2.3486 
 00:00:00.130.810      0.6177      2.3999 
 00:00:00.130.976      0.6372      2.4390 
 00:00:00.131.142      0.6470      2.4902 
 00:00:00.131.308      0.6665      2.5293 
 00:00:00.131.474      0.6885      2.5684 
 00:00:00.131.640      0.6982      2.5977 
 00:00:00.131.806      0.7080      2.6294 
 00:00:00.131.972      0.6982      2.6685 
 00:00:00.132.138      0.7275      2.6978 
 00:00:00.132.304      0.7471      2.7490 
 00:00:00.132.470      0.7471      2.7881 
 00:00:00.132.636      0.7764      2.8467 
 00:00:00.132.802      0.7764      2.9272 
 00:00:00.132.968      0.7861      2.9761 
 00:00:00.133.134      0.8057      3.0664 
 00:00:00.133.300      0.7959      3.1055 
 00:00:00.133.466      0.8179      3.1470 
 00:00:00.133.632      0.8179      3.1665 
 00:00:00.133.798      0.8276      3.1567 
 00:00:00.133.964      0.8276      3.1372 
 00:00:00.134.130      0.8276      3.0664 
 00:00:00.134.296      0.8276      2.9175 
 00:00:00.134.462      0.8057      2.8076 
 00:00:00.134.628      0.8179      2.6685 
 00:00:00.134.794      0.8057      2.5488 
 00:00:00.134.960      0.7959      2.4097 
 00:00:00.135.126      0.7861      2.2803 
 00:00:00.135.292      0.8179      2.1313 
 00:00:00.135.458      0.7959      1.9727 
 00:00:00.135.624      0.8057      1.8018 
 00:00:00.135.790      0.7861      1.6431 
 00:00:00.135.956      0.7666      1.4526 
 00:00:00.136.122      0.7568      1.2744 
 00:00:00.136.288      0.7471      1.1060 
 00:00:00.136.454      0.7764      0.9058 
 00:00:00.136.620      0.7568      0.7178 
 00:00:00.136.786      0.7666      0.5273 
 00:00:00.136.952      0.7471      0.3491 
 00:00:00.137.118      0.7373      0.1489 
 00:00:00.137.284      0.7275     -0.0391 
 00:00:00.137.450      0.7275     -0.2173 
 00:00:00.137.616      0.7178     -0.4175 
 00:00:00.137.782      0.6982     -0.5664 
 00:00:00.137.948      0.6567     -0.7471 
 00:00:00.138.114      0.5078     -0.9058 
 00:00:00.138.280      0.3101     -1.0449 
 00:00:00.138.446      0.1392     -1.1841 
 00:00:00.138.612      0.0195     -1.3037 
 00:00:00.138.778     -0.0488     -1.4038 
 00:00:00.138.944     -0.1196     -1.5112 
 00:00:00.139.110     -0.1782     -1.6211 
 00:00:00.139.276     -0.2490     -1.7310 
 00:00:00.139.442     -0.2979     -1.8311 
 00:00:00.139.608     -0.3369     -1.9116 
 00:00:00.139.774     -0.3979     -1.9995 
 00:00:00.139.940     -0.4272     -2.0605 
 00:00:00.140.106     -0.4761     -2.1484 
 00:00:00.140.272     -0.4980     -2.2192 
 00:00:00.140.438     -0.5273     -2.2681 
 00:00:00.140.604     -0.5566     -2.3291 
 00:00:00.140.770     -0.5859     -2.3779 
 00:00:00.140.936     -0.6177     -2.4390 
 00:00:00.141.102     -0.6274     -2.4585 
 00:00:00.141.268     -0.6665     -2.5171 
 00:00:00.141.434     -0.6860     -2.5586 
 00:00:00.141.600     -0.6958     -2.5977 
 00:00:00.141.766     -0.7056     -2.6270 
 00:00:00.141.932     -0.7251     -2.6563 
