537,407,	1,82
537,953,	1,86
538,5,	1,87
539,063,	1,83
539,594,	1,85
540,11,	1,84
540,641,	1,85
541,172,	1,84
541,735,	1,87
542,25,	1,84
542,782,	1,85
543,313,	1,84
543,844,	1,85
544,407,	1,86
544,953,	1,86
545,5,	1,86
546,063,	1,84
546,61,	1,84
547,141,	1,84
547,688,	1,86
548,235,	1,84
548,75,	1,82
549,297,	1,85
549,828,	1,87
550,391,	1,84
550,907,	1,86
551,438,	1,88
552,	1,82
552,516,	1,82
553,063,	1,83
553,625,	1,85
554,203,	1,83
554,735,	1,84
555,297,	1,86
555,797,	1,83
556,328,	1,8
556,907,	1,86
557,438,	1,83
557,953,	1,83
558,485,	1,83
559,	1,82
559,578,	1,8
560,141,	1,82
560,672,	1,85
561,235,	1,82
561,797,	1,86
562,375,	1,82
562,891,	1,85
563,422,	1,85
563,985,	1,82
564,5,	1,82
565,047,	1,84
565,594,	1,84
566,141,	1,85
566,703,	1,86
567,266,	1,81
567,828,	1,81
568,36,	1,82
568,891,	1,82
569,422,	1,83
569,938,	1,83
570,469,	1,85
571,	1,84
571,532,	1,83
572,078,	1,86
572,641,	1,82
573,157,	1,83
573,703,	1,84
574,266,	1,81
574,828,	1,83
575,344,	1,84
575,891,	1,82
576,407,	1,85
576,938,	1,8
577,469,	1,82
577,985,	1,86
578,516,	1,85
579,063,	1,82
579,594,	1,82
580,141,	1,83
580,703,	1,83
581,266,	1,82
581,782,	1,85
582,313,	1,83
582,875,	1,81
583,391,	1,82
583,922,	1,84
584,453,	1,82
584,985,	1,79
585,516,	1,85
586,032,	1,84
586,563,	1,82
587,125,	1,82
587,688,	1,83
588,266,	1,82
588,828,	1,82
589,36,	1,84
589,922,	1,81
590,469,	1,82
591,	1,85
591,547,	1,8
592,11,	1,83
592,688,	1,8
593,219,	1,82
593,782,	1,82
594,344,	1,83
594,907,	1,83
595,469,	1,83
596,	1,83
596,532,	1,8
597,078,	1,81
597,61,	1,81
598,125,	1,83
598,688,	1,83
599,235,	1,82
599,766,	1,82
600,297,	1,83
600,86,	1,8
601,422,	1,82
601,953,	1,83
602,516,	1,81
603,078,	1,81
603,657,	1,83
604,188,	1,79
604,735,	1,82
605,282,	1,81
605,813,	1,81
606,36,	1,83
606,907,	1,81
607,453,	1,84
608,	1,82
608,532,	1,83
609,094,	1,82
609,657,	1,83
610,219,	1,8
610,75,	1,8
611,313,	1,81
611,86,	1,8
612,391,	1,81
612,938,	1,79
613,5,	1,81
614,078,	1,83
614,61,	1,82
615,172,	1,83
615,672,	1,79
616,203,	1,79
616,782,	1,82
617,328,	1,81
617,86,	1,81
618,407,	1,79
618,953,	1,8
619,5,	1,8
620,016,	1,84
620,547,	1,83
621,11,	1,82
621,625,	1,79
622,157,	1,81
622,719,	1,83
623,25,	1,8
623,797,	1,8
624,344,	1,82
624,907,	1,8
625,438,	1,81
625,969,	1,81
626,516,	1,82
627,063,	1,8
627,625,	1,81
628,157,	1,81
628,672,	1,81
629,203,	1,81
629,735,	1,78
630,297,	1,82
630,86,	1,78
631,391,	1,81
631,953,	1,81
632,516,	1,79
633,094,	1,79
633,625,	1,8
634,172,	1,81
634,703,	1,79
635,219,	1,8
635,75,	1,82
636,282,	1,82
636,813,	1,84
637,344,	1,81
