538,11,	735,497
538,641,	735,531
539,203,	735,497
539,719,	735,499
540,25,	735,567
540,782,	735,533
541,297,	735,499
541,86,	735,533
542,375,	735,635
542,907,	735,5
543,453,	735,534
543,985,	735,466
544,547,	735,534
545,11,	735,602
545,625,	735,593
546,203,	735,457
546,75,	735,627
547,266,	735,491
547,828,	735,457
548,375,	735,494
548,875,	735,494
549,438,	735,494
550,	735,494
550,516,	735,426
551,047,	735,429
551,578,	735,565
552,125,	735,497
552,657,	735,429
553,203,	735,463
553,766,	735,497
554,344,	735,533
554,891,	735,465
555,422,	735,499
555,938,	735,567
556,469,	735,567
557,047,	735,5
557,563,	735,5
558,094,	735,466
558,625,	735,569
559,141,	735,534
559,719,	735,569
560,282,	735,467
560,844,	735,467
561,375,	735,501
561,938,	735,569
562,5,	735,492
563,032,	735,594
563,563,	735,492
564,125,	735,458
564,641,	735,56
565,188,	735,492
565,735,	735,563
566,266,	735,427
566,844,	735,597
567,407,	735,529
567,969,	735,461
568,485,	735,497
569,032,	735,532
569,547,	735,395
570,078,	735,566
570,594,	735,463
571,141,	735,5
571,688,	735,568
572,219,	735,534
572,766,	735,5
573,297,	735,5
573,844,	735,442
574,407,	735,511
574,969,	735,476
575,485,	735,408
576,016,	735,476
576,532,	735,579
577,078,	735,51
577,594,	735,476
578,125,	735,544
578,688,	735,544
579,203,	735,51
579,735,	735,474
580,282,	735,542
580,844,	735,576
581,391,	735,474
581,922,	735,508
582,453,	735,473
583,016,	735,541
583,532,	735,61
584,063,	735,541
584,578,	735,507
585,125,	735,507
585,641,	735,584
586,172,	735,55
586,735,	735,584
587,266,	735,584
587,828,	735,55
588,407,	735,581
588,969,	735,581
589,532,	735,445
590,063,	735,581
590,61,	735,479
591,125,	735,51
591,688,	735,51
592,25,	735,51
592,828,	735,579
593,375,	735,476
593,922,	735,475
594,485,	735,441
595,047,	735,611
595,61,	735,577
596,125,	735,509
596,672,	735,439
597,235,	735,439
597,735,	735,507
598,282,	735,405
598,828,	735,507
599,375,	735,576
599,907,	735,506
600,422,	735,472
601,	735,472
601,563,	735,472
602,125,	735,438
602,657,	735,472
603,219,	735,369
603,782,	735,506
604,328,	735,472
604,875,	735,642
605,422,	735,447
605,953,	735,515
606,5,	735,584
607,063,	735,515
607,594,	735,515
608,141,	735,444
608,672,	735,546
609,219,	735,41
609,797,	735,478
610,36,	735,478
610,922,	735,52
611,453,	735,452
612,	735,588
612,532,	735,486
613,078,	735,52
613,641,	735,594
614,219,	735,491
614,782,	735,56
615,297,	735,491
615,813,	735,491
616,344,	735,457
616,922,	735,495
617,469,	735,598
618,	735,563
618,547,	735,495
619,094,	735,495
619,625,	735,523
620,157,	735,523
620,719,	735,625
621,235,	735,488
621,782,	735,557
622,297,	735,518
622,844,	735,484
623,391,	735,552
623,938,	735,552
624,485,	735,45
625,047,	735,48
625,563,	735,514
626,11,	735,48
626,672,	735,48
627,203,	735,48
627,766,	735,446
628,282,	735,523
628,813,	735,557
629,344,	735,557
629,86,	735,557
630,438,	735,557
631,	735,449
631,563,	735,552
632,094,	735,552
632,657,	735,518
633,219,	735,415
633,766,	735,582
634,313,	735,514
634,828,	735,48
635,36,	735,412
635,891,	735,48
636,407,	735,48
636,938,	735,511
637,485,	735,511
638,047,	735,477
638,61,	735,511
639,141,	735,443
639,688,	735,519
640,219,	735,485
640,766,	735,485
641,328,	735,553
641,891,	735,485
642,407,	735,515
642,938,	735,515
643,453,	735,447
644,	735,447
644,516,	735,549
645,047,	735,421
645,61,	735,455
646,141,	735,455
646,703,	735,489
647,282,	735,455
647,844,	735,562
648,407,	735,528
648,938,	735,494
649,485,	735,596
650,	735,494
650,563,	735,596
651,11,	735,497
651,657,	735,531
652,172,	735,531
652,735,	735,497
653,25,	735,531
653,797,	735,636
654,36,	735,534
654,907,	735,534
655,453,	735,5
655,985,	735,465
656,5,	735,501
657,032,	735,501
657,547,	735,536
658,11,	735,536
658,625,	735,501
659,172,	735,536
659,75,	735,571
660,313,	735,503
660,828,	735,503
661,375,	735,571
661,907,	735,503
662,453,	735,47
663,	735,538
663,516,	735,572
664,078,	735,47
664,625,	735,504
665,157,	735,573
665,688,	735,505
666,25,	735,539
666,766,	735,47
667,297,	735,47
667,828,	735,505
668,375,	735,471
668,907,	735,471
669,453,	735,607
670,016,	735,539
670,578,	735,607
671,094,	735,506
671,641,	735,437
672,188,	735,471
672,703,	735,54
673,25,	735,506
673,766,	735,642
674,297,	735,54
674,813,	735,472
675,36,	735,506
675,875,	735,54
676,422,	735,575
676,953,	735,507
677,485,	735,541
678,	735,439
678,547,	735,609
679,094,	735,644
679,61,	735,541
680,172,	735,575
680,719,	735,575
681,25,	735,541
681,782,	735,507
682,344,	735,575
682,86,	735,609
683,391,	735,507
683,922,	735,438
684,469,	735,438
685,	735,438
685,547,	735,507
686,11,	735,473
686,688,	735,507
687,25,	735,473
687,766,	735,439
688,313,	735,541
688,86,	735,575
689,391,	735,507
689,907,	735,473
690,438,	735,541
690,969,	735,541
691,485,	735,541
692,063,	735,609
692,625,	735,541
693,188,	735,473
693,719,	735,483
694,282,	735,483
694,844,	735,517
695,375,	735,517
695,907,	735,517
696,485,	735,446
697,047,	735,446
697,563,	735,514
698,11,	735,548
698,657,	735,48
699,203,	735,614
699,735,	735,444
700,266,	735,478
700,813,	735,614
701,36,	735,614
701,891,	735,512
702,422,	735,535
702,985,	735,501
703,5,	735,501
704,032,	735,501
704,563,	735,535
705,11,	735,535
705,641,	735,603
706,188,	735,535
706,75,	735,467
707,313,	735,501
707,828,	735,503
708,375,	735,537
708,938,	735,469
709,469,	735,571
710,032,	735,537
710,547,	735,468
711,078,	735,605
711,61,	735,434
712,125,	735,503
712,703,	735,503
713,266,	735,537
713,828,	735,402
714,36,	735,504
714,907,	735,436
715,438,	735,641
715,985,	735,743
716,547,	735,549
717,11,	735,515
717,625,	735,549
718,172,	735,583
718,719,	735,481
719,235,	735,512
719,782,	735,614
720,297,	735,546
720,844,	735,58
721,375,	735,512
721,922,	735,623
722,453,	735,384
722,969,	735,52
723,532,	735,589
724,063,	735,418
724,594,	735,452
725,172,	735,585
725,735,	735,483
726,25,	735,551
726,797,	735,517
727,328,	735,21
727,875,	735,514
728,407,	735,514
728,922,	735,446
729,438,	735,514
729,969,	735,548
730,5,	735,546
731,016,	735,478
731,578,	735,512
732,094,	735,819
732,641,	735,546
733,219,	735,546
733,782,	735,545
734,297,	735,545
734,86,	735,443
735,391,	735,545
735,938,	735,579
736,469,	735,509
737,	735,406
737,547,	735,509
738,094,	735,44
738,625,	735,577
739,157,	735,508
739,719,	735,542
740,235,	735,508
740,766,	735,542
741,297,	735,474
741,844,	735,576
742,375,	735,508
742,922,	735,576
743,485,	735,576
744,047,	735,508
744,563,	735,611
745,11,	735,404
745,672,	735,575
746,203,	735,507
746,766,	735,575
747,282,	735,575
747,813,	735,585
748,344,	735,517
748,86,	735,551
749,438,	735,483
750,	735,551
750,563,	735,617
751,094,	735,549
751,641,	735,549
752,172,	735,549
752,719,	735,48
753,282,	735,511
753,86,	735,58
754,407,	735,511
754,938,	735,58
755,469,	735,511
756,	735,511
756,563,	735,579
757,094,	735,51
757,61,	735,51
758,125,	735,442
758,657,	735,579
759,188,	735,544
759,703,	735,441
760,266,	735,544
760,782,	735,51
761,328,	735,544
761,907,	735,577
762,469,	735,543
762,985,	735,543
763,532,	735,407
764,063,	735,475
764,61,	735,543
765,141,	735,587
765,657,	735,621
766,188,	735,519
766,703,	735,519
767,235,	735,519
767,75,	735,516
768,313,	735,516
768,828,	735,447
769,375,	735,481
769,953,	735,413
770,516,	735,548
771,032,	735,582
771,578,	735,514
772,11,	735,65
772,657,	735,548
773,203,	735,512
773,735,	735,478
774,282,	735,58
774,828,	735,58
775,36,	735,546
775,891,	735,546
776,407,	735,622
776,953,	735,554
777,5,	735,52
778,032,	735,52
778,578,	735,622
779,11,	735,447
779,657,	735,618
780,219,	735,549
780,797,	735,584
781,344,	735,447
781,875,	735,557
782,407,	735,523
782,938,	735,523
783,5,	735,489
784,016,	735,557
784,547,	735,523
785,078,	735,495
785,594,	735,563
786,172,	735,529
786,735,	735,597
787,297,	735,597
787,828,	735,534
788,391,	735,5
